text,intent
what is happening with my marks,trend
how can i increase my scores,recommendation
did my performance improve from internal 1 to internal 2,trend
what is my performance status,performance
do i require academic attention,risk
how is my performance changing over time,trend
are my scores improving,trend
which subject did i score the most in,highest_subject
what is my bottom score,lowest_subject
am i getting better,trend
which subject has my best result,highest_subject
give me some advice,recommendation
am i doing well academically,performance
where did i get my highest score,highest_subject
which subject has my poorest score,lowest_subject
which subject did i score the lowest in,lowest_subject
show my academic scores,marks
which subject has the best marks,highest_subject
what changes should i make to my study habits,recommendation
am i doing badly enough to need attention,risk
did my marks improve,trend
tell me about my academic progress,performance
goodbye,exit
how well am i doing academically,performance
how are my studies going overall,performance
did i improve in my latest exam,trend
what marks did i get in my subjects,marks
which subject has my greatest score,highest_subject
tell me how i can improve,recommendation
do i need attention,risk
what can i do to perform better,recommendation
what are my subject-wise marks,marks
does my performance need attention,risk
what marks did i get on average,average
which areas should i work on,recommendation
see you,exit
what should i work on,recommendation
what is my strongest subject,highest_subject
where did i get my highest marks,highest_subject
which is my highest scoring subject,highest_subject
stop chatting,exit
close,exit
which subject has my maximum score,highest_subject
how can i get better marks,recommendation
end the conversation,exit
which subject is my weakest academically,lowest_subject
what do i need to work on,recommendation
what should i study more,recommendation
what should i focus on improving,recommendation
how did my marks change recently,trend
did i score better in the latest exam,trend
which subject is my weakest in terms of marks,lowest_subject
i am leaving now,exit
how would you rate my performance,performance
which subject do i perform worst in,lowest_subject
give me advice about my studies,recommendation
tell me how i am doing overall,performance
show me my score details,marks
what is my current performance,performance
can you assess my studies,performance
compare my current marks with my previous marks,trend
how often do i attend classes,attendance
should i worry about my marks,risk
tell me my overall attendance,attendance
what should i do next,recommendation
show me my exam scores,marks
how did my marks change between exams,trend
how can i improve my academic performance,recommendation
what can i do to perform better in my exams,recommendation
show me all my scores,marks
what should i do about my weak subject,recommendation
what is the average of my marks,average
is my performance concerning,risk
how can i improve my weak areas,recommendation
what percentage of attendance do i have,attendance
what do you recommend for me,recommendation
which subject should i improve,recommendation
what changed in my marks between exams,trend
where should i focus,recommendation
what is my top subject,highest_subject
is there anything concerning about my results,risk
nothing else,exit
how would you describe my current performance,performance
how are my scores changing,trend
can you tell me my average,average
are my scores getting better,trend
which subject has the lowest score,lowest_subject
where am i weak,recommendation
what is my overall average score,average
which areas should i improve,recommendation
tell me my average,average
tell me my marks,marks
what can i do to improve my studies,recommendation
which subject is my weakest,lowest_subject
which subject did i score highest in,highest_subject
show me all my subject scores,marks
which subject did i perform the worst in,lowest_subject
which subject has my minimum score,lowest_subject
how would you describe my performance,performance
talk to you later,exit
calculate my average mark,average
show my attendance,attendance
have my scores improved recently,trend
is my academic performance a concern,risk
what is my minimum score,lowest_subject
tell me my lowest score,lowest_subject
close the assistant,exit
that's all for now,exit
tell me my weakest subject,lowest_subject
what is my overall marks average,average
how often am i present in class,attendance
did my scores increase in the latest exam,trend
how regular am i in class,attendance
which subject should i consider my strongest,highest_subject
what scores did i get,marks
is my current performance risky,risk
where are my highest marks,highest_subject
how many classes was i present for,attendance
stop,exit
what should i spend more time on,recommendation
what should i pay attention to,recommendation
tell me my subject scores,marks
has my performance improved since my previous exam,trend
did my academic performance get better over time,trend
what should i concentrate on,recommendation
am i in the danger zone,risk
tell me how regular my attendance is,attendance
has my academic performance improved,trend
what is my weakest performing subject,lowest_subject
what are my weak areas,recommendation
is my academic performance good,performance
tell me all my marks,marks
what are my marks,marks
what is my top score,highest_subject
did my performance change over time,trend
have my scores gotten better,trend
did my marks increase from the previous exam,trend
am i at risk,risk
what is the status of my performance,performance
which subject is my best,highest_subject
how serious is my current performance,risk
what should i improve,recommendation
give me my marks,marks
what is my maximum mark,highest_subject
am i improving compared with my previous results,trend
has my performance improved compared with my earlier exams,trend
how much have my marks changed since the last exam,trend
what is my attendance rate,attendance
have my marks improved,trend
how strong is my overall academic performance,performance
what is my average score,average
which subject needs the most improvement,lowest_subject
that's all,exit
how good are my studies,performance
what can i do to improve my performance,recommendation
what changed in my recent marks,trend
how have i progressed,trend
are my marks getting better,trend
end,exit
tell me my current performance,performance
which subject should i focus on,recommendation
how have my marks changed,trend
display my subject marks,marks
did my scores improve,trend
list all my marks,marks
what is my lowest mark,lowest_subject
how have my scores changed over time,trend
what do you think about my studies,performance
is my current performance a concern,risk
i want to leave,exit
has my score improved from the last exam,trend
what is my overall score,average
which subject has my highest score,highest_subject
what is my highest score,highest_subject
how much is my average score,average
quit,exit
should i be worried about my marks,risk
what is my weakest subject,lowest_subject
tell me about my performance,performance
which subject has my lowest marks,lowest_subject
what actions should i take to improve,recommendation
which subject has the highest marks,highest_subject
what percentage of classes did i attend,attendance
see you later,exit
give me a recommendation,recommendation
tell me my lowest mark,lowest_subject
is there any risk in my academic performance,risk
what is my worst performing subject,lowest_subject
how many classes have i attended,attendance
tell me how i performed on average,average
how are my studies going,performance
what is my average mark,average
what does my performance look like,performance
