average_marks,attendance_percentage,highest_mark,lowest_mark,needs_attention
92,95,98,87,0
88,91,94,81,0
84,87,90,76,0
81,82,88,72,0
78,79,84,70,0
74,76,81,66,0
71,72,77,63,0
68,69,74,59,1
65,66,71,55,1
62,64,68,51,1
59,61,65,48,1
56,58,62,45,1
53,55,60,41,1
49,52,56,38,1
45,48,52,34,1
90,88,95,82,0
86,84,91,77,0
80,81,85,71,0
76,78,82,68,0
70,74,76,61,0
67,70,73,57,1
63,67,69,52,1
58,62,64,47,1
52,57,59,42,1
48,54,55,37,1
82,62,91,70,1
65,94,72,58,1
84,68,90,76,1
72,93,80,64,0
69,88,75,61,0
91,65,97,84,1
78,67,85,70,1
88,73,94,80,0
61,92,70,49,1
76,89,82,65,0
